"date_time","hosts_throughput_limit"
"2024-04-30 19:02:54.234291","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 15835.134912616862}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:03:06.781385","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 16310.188959995368}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:03:19.822671","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 16310.188959995368}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:03:32.307384","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 16799.49462879523}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:03:51.139579","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 16799.49462879523}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:04:03.990706","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 17303.479467659086}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:04:16.885648","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 17822.583851688858}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15913.265597045898}]"
"2024-04-30 19:04:23.214519","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 17822.583851688858}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:04:35.588459","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 18357.261367239524}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:04:48.176097","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 18907.97920825671}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15913.265597045898}]"
